realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.Realm$Companion
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.Realm
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.RealmKt
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.SimpleAGPVersion$Companion
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.SimpleAGPVersion$compareTo$$inlined$compareBy$1
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.SimpleAGPVersion$compareTo$$inlined$thenBy$1
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.SimpleAGPVersion
realm-gradle-plugin	realm-gradle-plugin-10.19.0.jar	io.realm.gradle.Version
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.AnalyticsData
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.ComputerIdentifierGenerator$Companion
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.ComputerIdentifierGenerator
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.PublicAppId
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.RealmAnalytics
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.RealmAnalyticsKt
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.UrlEncodedAnalytics$Companion
realm-transformer	realm-transformer-10.19.0.jar	io.realm.analytics.UrlEncodedAnalytics
realm-transformer	realm-transformer-10.19.0.jar	io.realm.gradle.RealmPluginExtension
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.BytecodeModifier$Companion
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.BytecodeModifier
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.ManagedClassPool
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.ProjectMetaData
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.RealmTransformerKt
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.RealmTransformerTask
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.Stopwatch
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.Utils
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.Version
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.build.BuildTemplate
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.build.BuildTemplateKt
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.build.FullBuild
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.build.IncrementalBuild
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.ext.CtClassExtKt
realm-transformer	realm-transformer-10.19.0.jar	io.realm.transformer.ext.ProjectExtKt
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.Beta
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.Ignore
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.Index
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.LinkingObjects
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.PrimaryKey
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.RealmClass
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.RealmField
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.RealmModule
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.RealmNamingPolicy
realm-annotations	realm-annotations-10.19.0.jar	io.realm.annotations.Required
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.Backlink
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.ClassCollection
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.ClassMetaData$Companion
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.ClassMetaData$WhenMappings
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.ClassMetaData
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.Constants$RealmFieldType
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.Constants
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.DefaultModuleGenerator
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.ModuleMetaData
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.OsObjectBuilderTypeHelper
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.QualifiedClassName
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmFieldElement
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmJsonTypeHelper
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmProcessor
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmProxyClassGenerator$Companion
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmProxyClassGenerator$WhenMappings
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmProxyClassGenerator
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmProxyInterfaceGenerator
realm-annotations-processor	realm-annotations-processor-10.19.0.jar	io.realm.processor.RealmProxyMediatorGenerator$special$$inlined$compareByDescending$1
